S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate
5,70,0.2213,390.4484,-5424.25,7342.6,0.4997
4,117,0.2212,390.1719,-7653.98,7337.4,0.5026
4,97,0.2211,390.0316,-7175.72,7334.76,0.5018
86,113,0.2206,389.1191,-5756.74,7317.6,0.5079
85,114,0.2206,389.1191,-5756.74,7317.6,0.5079
90,108,0.2206,389.1191,-5756.74,7317.6,0.5079
96,101,0.2206,389.1191,-5756.74,7317.6,0.5079
82,118,0.2206,389.1191,-5756.74,7317.6,0.5079
95,102,0.2206,389.1191,-5756.74,7317.6,0.5079
78,124,0.2206,389.1191,-5756.74,7317.6,0.5079
89,109,0.2206,389.1191,-5756.74,7317.6,0.5079
91,107,0.2206,389.1191,-5756.74,7317.6,0.5079
92,106,0.2206,389.1191,-5756.74,7317.6,0.5079
97,100,0.2206,389.1191,-5756.74,7317.6,0.5079
98,99,0.2206,389.1191,-5756.74,7317.6,0.5079
88,110,0.2206,389.1191,-5756.74,7317.6,0.5079
83,117,0.2206,389.1191,-5756.74,7317.6,0.5079
80,121,0.2206,389.1191,-5756.74,7317.6,0.5079
10,76,0.2206,389.152,-5980.5,7318.22,0.5001
5,32,0.2205,388.9266,-6767.14,7313.98,0.5022
7,34,0.2204,388.8,-5090.73,7311.6,0.5022
10,96,0.2203,388.6745,-5572.8,7309.24,0.5009
14,77,0.2203,388.632,-5770.4,7308.44,0.5022
21,22,0.2202,388.5086,-5667.87,7306.12,0.5028
3,50,0.2201,388.3831,-6576.04,7303.76,0.5039
7,94,0.2201,388.2842,-7482.58,7301.9,0.4995
6,82,0.2198,387.8162,-6306.88,7293.1,0.5003
9,13,0.2197,387.6142,-6356.0,7289.3,0.4953
12,27,0.2195,387.2281,-5258.5,7282.04,0.5028
2,112,0.2194,387.1441,-6075.02,7280.46,0.5045
5,90,0.2192,386.7357,-7367.2,7272.78,0.5001
13,25,0.2191,386.6134,-4598.25,7270.48,0.5018
93,104,0.219,386.4071,-5756.74,7266.6,0.5077
94,103,0.219,386.4071,-5756.74,7266.6,0.5077
92,105,0.219,386.4071,-5756.74,7266.6,0.5077
4,86,0.2189,386.2061,-6603.66,7262.82,0.4995
4,106,0.2186,385.685,-6871.46,7253.02,0.5012
2,60,0.2186,385.6999,-5893.24,7253.3,0.5018
8,97,0.2183,385.1936,-5819.7,7243.78,0.5007
6,47,0.2183,385.1511,-5026.32,7242.98,0.5039
5,68,0.2183,385.0766,-5783.25,7241.58,0.4991
5,72,0.2182,384.915,-5410.75,7238.54,0.4997
3,81,0.2181,384.8278,-6402.38,7236.9,0.5012
2,105,0.2181,384.7214,-7180.08,7234.9,0.5043
7,84,0.2181,384.7714,-7131.64,7235.84,0.4997
10,99,0.218,384.5406,-5584.5,7231.5,0.5007
3,84,0.218,384.6108,-6578.46,7232.82,0.5024
5,31,0.2178,384.2907,-6189.82,7226.8,0.5012
16,24,0.2178,384.2077,-4295.01,7225.24,0.5018
11,71,0.2178,384.2003,-5673.86,7225.1,0.4997
